From,To,Subject,Content,Timestamp
adminoffice@acropolis.in,undisclosed-recipients:;,"=?UTF-8?B?4KS44KWB4KSa4KSo4KS+IC0g4KS44KWN4KS14KS+4KS44KWN4KSl4KWN4KSvIOCkquCksA==?=
	=?UTF-8?B?4KWA4KSV4KWN4KS34KSj?=",[image: image.png],2024-09-12 16:51:48
adminoffice@acropolis.in,undisclosed-recipients:;,FICCI flo course registration,"Dear Students (Girls Only) FICCI FLO Invites You to Join the AI Revolution with SAWIT! We are thrilled to announce a groundbreaking opportunity in collaboration with SAWIT (South Asian Women in Tech). For the first time ever, we are offering certification training in Artificial Intelligence (AI) exclusively for our members and partners—absolutely FREE! Why AI? AI is the future, and it's essential for women to be at the forefront of this transformative field. This course is designed to equip you with valuable AI skills and knowledge, providing you with a competitive edge in the tech world. Course Details: Two Course Modules: Study at your own pace Online Test Date: 21st September Certification: Receive an AI certificate from Google upon completion Registration Link for Individuals : https://sawitnetwork.com/register?ref=nmiznjy&utm_source=affilaites&utm_medium=reshma_patel&utm_campaign=SAWIT_24 This course is open to professionals and students alike, with no age restrictions or prior educational requirements. It is also available in six regional languages to accommodate diverse participants. Don’t miss this opportunity to be part of the AI revolution. Register now and take the first step towards becoming a certified AI professional! Interested students may register ASAP and be a part of the future! Dear Students (Girls Only) FICCI FLO Invites You to Join the AI Revolution with SAWIT! We are thrilled to announce a groundbreaking opportunity in collaboration with SAWIT (South Asian Women in Tech). For the first time ever, we are offering certification training in Artificial Intelligence (AI) exclusively for our members and partners—absolutely FREE! Why AI? AI is the future, and it's essential for women to be at the forefront of this transformative field. This course is designed to equip you with valuable AI skills and knowledge, providing you with a competitive edge in the tech world. Course Details: Two Course Modules: Study at your own pace Online Test Date: 21st September Certification: Receive an AI certificate from Google upon completion Registration Link for Individuals : https://sawitnetwork.com/register?ref=nmiznjy&utm_source=affilaites&utm_medium=reshma_patel&utm_campaign=SAWIT_24 This course is open to professionals and students alike, with no age restrictions or prior educational requirements. It is also available in six regional languages to accommodate diverse participants. Don’t miss this opportunity to be part of the AI revolution. Register now and take the first step towards becoming a certified AI professional! Interested students may register ASAP and be a part of the future!",2024-08-28 15:25:25
adminoffice@acropolis.in,undisclosed-recipients:;,NOTICE - Internal Audit of AICTE IDEA Lab,"*NOTICE* *Internal Audit of AICTE IDEA Lab* All Students, Faculty, and Staff Members are hereby informed that the training programs, visits, project development, orders, manufacturing, issuing of consumable items, and booking of machines at the *AICTE IDEA Lab will remain closed from 1st to 10th December 2024 *due to internal audit and IDEA Lab project closure activities and compliances. However, pre-scheduled visits and events will continue as planned. NOTICE Internal Audit of AICTE IDEA Lab All Students, Faculty, and Staff Members are hereby informed that the training programs, visits, project development, orders, manufacturing, issuing of consumable items, and booking of machines at the AICTE IDEA Lab will remain closed from 1st to 10th December 2024 due to internal audit and IDEA Lab project closure activities and compliances. However, pre-scheduled visits and events will continue as planned.",2024-11-30 15:29:30
adminoffice@acropolis.in,undisclosed-recipients:;,Notice- Exam Information,[image: image.png],2024-12-14 11:57:14
adminoffice@acropolis.in,undisclosed-recipients:;,Fwd: Office Order - Rescue Team,---------- Forwarded message --------- 8th Feb 2025 *Office Order* *Rescue Team* A rescue team comprised of the following members is constituted to *coordinate and address medical and other emergencies* to minimize potential harm to individual and property: *Coordinator* Shri Ashok Thatte Administrative Officer 96300-83833 *Co-Coordinators* Shri K. K. Choubey Chief Security Officer 94068-21295 Shri Aakash Gupta Transport Manager 99210-03111 *Assistant Coordinators* Shri Dheeraj Verma Sports Officer 94799-79949 Smt. Mahima Shrotriya Sports Teacher 91313-53764 Shri Ajay Katiyar Asst. Security Officer 94248-74390 *Members* Shri Dinesh Kumar Security Supervisor 94257-40454 Shri Vishal Suryawanshi Security Supervisor 96919-60552 Shri Rajkumar Patel Main Guard 97541-94521 Smt. Kinjal Shah Receptionist 73545-43455 Smt. Radha Joshi Receptionist 98274-84109 This team will respond to any unforeseen emergencies if observed and/or reported. *They can be reached at the provided contact numbers for prompt action.* ---------- Forwarded message ---------8th Feb 2025Office OrderRescue Team A rescue team comprised of the following members is constituted to coordinate and address medical and other emergencies to minimize potential harm to individual and property: Coordinator Shri Ashok ThatteAdministrative Officer96300-83833 Co-Coordinators Shri K. K. ChoubeyChief Security Officer94068-21295Shri Aakash GuptaTransport Manager99210-03111 Assistant Coordinators Shri Dheeraj VermaSports Officer94799-79949Smt. Mahima ShrotriyaSports Teacher91313-53764Shri Ajay KatiyarAsst. Security Officer94248-74390 Members Shri Dinesh KumarSecurity Supervisor94257-40454Shri Vishal SuryawanshiSecurity Supervisor96919-60552Shri Rajkumar PatelMain Guard97541-94521Smt. Kinjal ShahReceptionist73545-43455Smt. Radha JoshiReceptionist98274-84109This team will respond to any unforeseen emergencies if observed and/or reported. They can be reached at the provided contact numbers for prompt action.,2025-02-24 11:16:46
adminoffice@acropolis.in,undisclosed-recipients:;,Yavnika Hobby Club (YHC) - Student Core Team and Student Leaders,PFA 14th Dec 2024 *Yavnika Hobby Club (YHC)* *Student Core Team* *Post* *Name* *Department* President Yashasvi Sharma EC Vice President Dhrati Ajmera FCA Secretary Vinamra Hetawal CSIT Treasurer Head Rounak Likhar CSE-CY Saloni Jain IT Technical Head Hitesh Kumar Pathak CSE-CY Yashira Shaikh CSE-CY Social Media Shrishti Patil CSIT Nipurn Verma CSIT Social Media Shrishti Patil CSIT Nipurn Verma CSIT Discipline Head Tanish Kumawat CSIT Kundan Jinjar CS Departments’ Head Anushka Sharma CSE-CY Lokesh Singh Devera FCA *Student Leaders* *Club Name* *Club Leaders* *Department* Beat Mystique Dakshesh Singh Sherawat IT Tushar Choudhary FCA Kraft Studio Jahanvi Nagar FCA Aastha Panchal CSE-CY Abhivyakti Ineesh Dubey IT Smriti Raghuvanshi CSE-CY Naad Swaram (vocal) Kartik Joshi AIML Aarushi Chouhan CSIT Manvi Soni IT (Instrumental) Shrey Parikh AIML Hosting Heights Swastik Sharma EC Tanisha Kasera FCA Snap Shot Ajay Kumawat FCA Tushar Paliwal FCA Mayank Jadhav IT Literary Club Akshat Joshi AIML Lori Patidar IT PFA14th Dec 2024Yavnika Hobby Club (YHC)Student Core Team PostNameDepartmentPresidentYashasvi SharmaECVice PresidentDhrati AjmeraFCASecretaryVinamra HetawalCSITTreasurer HeadRounak LikharCSE-CY Saloni JainITTechnical HeadHitesh Kumar PathakCSE-CY Yashira ShaikhCSE-CYSocial MediaShrishti PatilCSIT Nipurn VermaCSITSocial MediaShrishti PatilCSIT Nipurn VermaCSITDiscipline HeadTanish KumawatCSIT Kundan JinjarCSDepartments’ HeadAnushka SharmaCSE-CY Lokesh Singh DeveraFCA Student Leaders Club NameClub LeadersDepartmentBeat MystiqueDakshesh Singh SherawatIT Tushar ChoudharyFCAKraft StudioJahanvi NagarFCA Aastha PanchalCSE-CYAbhivyaktiIneesh DubeyIT Smriti RaghuvanshiCSE-CYNaad Swaram (vocal)Kartik JoshiAIML Aarushi ChouhanCSIT Manvi SoniIT(Instrumental)Shrey ParikhAIMLHosting HeightsSwastik SharmaEC Tanisha KaseraFCASnap ShotAjay KumawatFCA Tushar PaliwalFCA Mayank JadhavITLiterary ClubAkshat JoshiAIML Lori PatidarIT,2024-12-14 16:51:00
adminoffice@acropolis.in,undisclosed-recipients:;,Notice - Deepawali Vacation 2024 (Students),*NOTICE* It is hereby notified for information of all the students that there will be Deepawali Vacation for all Institutions of Acropolis Group from Monday 28 th October to Friday 01st November 2024. NOTICE It is hereby notified for information of all the students that there will be Deepawali Vacation for all Institutions of Acropolis Group from Monday 28th October to Friday 01st November 2024.,2024-10-09 16:39:01
adminoffice@acropolis.in,undisclosed-recipients:;,Exam forms 5th semester and college fees,"Dear Students The examination forms of 5th semester regular are about to open by RGPV. You are, therefore, required to deposit all your due college fee payments and other fines (if any) at the earliest so as to avoid any inconvenience or delay during the process of exam form forwarding. Dear StudentsThe examination forms of 5th semester regular are about to open by RGPV. You are, therefore, required to deposit all your due college fee payments and other fines (if any) at the earliest so as to avoid any inconvenience or delay during the process of exam form forwarding.",2024-12-02 10:48:14
adminoffice@acropolis.in,undisclosed-recipients:;,Fwd: Anandam Senior Citizen Center (ASCC) - Scholarship Notice (for Girls),"---------- Forwarded message --------- From: ADMIN Office Date: Fri, Sep 6, 2024 at 4:55 PM Subject: Anandam Senior Citizen Center (ASCC) - Scholarship Notice (for Girls) To: UPDATE *Dear Students* *Please note that as the resul of II and IV semesters are declared, hence the last date of submission of Anandam Scholarship application form with all required documents is 03rd October 2024 befor 03:00 PM* *No application will be entrtained afterward.* *Scholarship Notice* *(For Girls)* Anandam Senior Citizen Center (ASCC), Indore offers scholarship to the students (Girls Only) who belongs to family with low annual income. Interested students of *B. Tech. (20**22 and 2023 *admitted) are required to submit their duly filled application form in the prescribed *attached* format along with the copy of following documents at scholarship counter within *7 days of declaration of result* of their previous semester. *(1) **Eligibility Criteria for Grant of scholarship:* (i) Total Annual (Yearly) family income from all sources – upto Rs. 3.00 Lacs. (ii) ECGPA=0.95 * CGPA of last exam passed should be 7.0 and above. (ECGPA – Effective CGPA as desired and defined by the ASCC). (iii) Partial concession to disabled girls and girls from Ex-serviceman’s Families. (iv) Relaxation in eligibility Criteria may considered by the Committee in Special circumstances. (v) Scholarship amount shall be disbursed in 2 equal installments. Second installment shall be disbursed on receiving demand from the concerned educational institution for its disbursement along with a copy of student’s mark sheet of six monthly/previous semester exam. (iv) Those girls who fail to secure original stipulated minimum qualifying marks, their next scholarship installment shall not be disbursed. *(2) **Document to be submitted with scholarship application form:* (i) Parent’s Income Proof. (ii) Copy of Aadhar Card of the applicant (Student). (iii) Copy of Aadhar Card of Parent (Father / Mother). (iv) Copy of Students College ID Card. (v) Copy of Mark sheets of previous semester examination passed (1st or 2 nd year as applicable). It may be noted that just submitting the application will not guarantee the award of scholarship. The shortlisted students would be informed by the admin office for further scrutiny by the authorities of Anandam Centre. ---------- Forwarded message ---------From: ADMIN Office <adminoffice@acropolis.in>Date: Fri, Sep 6, 2024 at 4:55 PMSubject: Anandam Senior Citizen Center (ASCC) - Scholarship Notice (for Girls)To: UPDATEDear StudentsPlease note that as the resul of II and IV semesters are declared, hence the last date of submission of Anandam Scholarship application form with all required documents is 03rd October 2024 befor 03:00 PMNo application will be entrtained afterward.Scholarship Notice(For Girls) Anandam Senior Citizen Center (ASCC), Indore offers scholarship to the students (Girls Only) who belongs to family with low annual income. Interested students of B. Tech. (2022 and 2023 admitted) are required to submit their duly filled application form in the prescribed attached format along with the copy of following documents at scholarship counter within 7 days of declaration of result of their previous semester. (1) Eligibility Criteria for Grant of scholarship:(i) Total Annual (Yearly) family income from all sources – upto Rs. 3.00 Lacs.(ii) ECGPA=0.95 * CGPA of last exam passed should be 7.0 and above. (ECGPA – Effective CGPA as desired and defined by the ASCC).(iii) Partial concession to disabled girls and girls from Ex-serviceman’s Families.(iv) Relaxation in eligibility Criteria may considered by the Committee in Special circumstances.(v) Scholarship amount shall be disbursed in 2 equal installments.Second installment shall be disbursed on receiving demand from the concerned educational institution for its disbursement along with a copy of student’s mark sheet of six monthly/previous semester exam.(iv) Those girls who fail to secure original stipulated minimum qualifying marks, their next scholarship installment shall not be disbursed.(2) Document to be submitted with scholarship application form:(i) Parent’s Income Proof.(ii) Copy of Aadhar Card of the applicant (Student).(iii) Copy of Aadhar Card of Parent (Father / Mother).(iv) Copy of Students College ID Card.(v) Copy of Mark sheets of previous semester examination passed (1st or 2nd year as applicable). It may be noted that just submitting the application will not guarantee the award of scholarship. The shortlisted students would be informed by the admin office for further scrutiny by the authorities of Anandam Centre.",2024-10-01 11:26:57
adminoffice@acropolis.in,undisclosed-recipients:;,Anandam Senior Citizen Center (ASCC) - Scholarship Notice (for Girls),"*Scholarship Notice* *(For Girls)* Anandam Senior Citizen Center (ASCC), Indore offers scholarship to the students (Girls Only) who belongs to family with low annual income. Interested students of *B. Tech. (20**22 and 2023 *admitted) are required to submit their duly filled application form in the prescribed *attached* format along with the copy of following documents at scholarship counter within *7 days of declaration of result* of their previous semester. *(1) **Eligibility Criteria for Grant of scholarship:* (i) Total Annual (Yearly) family income from all sources – upto Rs. 3.00 Lacs. (ii) ECGPA=0.95 * CGPA of last exam passed should be 7.0 and above. (ECGPA – Effective CGPA as desired and defined by the ASCC). (iii) Partial concession to disabled girls and girls from Ex-serviceman’s Families. (iv) Relaxation in eligibility Criteria may considered by the Committee in Special circumstances. (v) Scholarship amount shall be disbursed in 2 equal installments. Second installment shall be disbursed on receiving demand from the concerned educational institution for its disbursement along with a copy of student’s mark sheet of six monthly/previous semester exam. (iv) Those girls who fail to secure original stipulated minimum qualifying marks, their next scholarship installment shall not be disbursed. *(2) **Document to be submitted with scholarship application form:* (i) Parent’s Income Proof. (ii) Copy of Aadhar Card of the applicant (Student). (iii) Copy of Aadhar Card of Parent (Father / Mother). (iv) Copy of Students College ID Card. (v) Copy of Mark sheets of previous semester examination passed (1st or 2 nd year as applicable). It may be noted that just submitting the application will not guarantee the award of scholarship. The shortlisted students would be informed by the admin office for further scrutiny by the authorities of Anandam Centre. Scholarship Notice(For Girls) Anandam Senior Citizen Center (ASCC), Indore offers scholarship to the students (Girls Only) who belongs to family with low annual income. Interested students of B. Tech. (2022 and 2023 admitted) are required to submit their duly filled application form in the prescribed attached format along with the copy of following documents at scholarship counter within 7 days of declaration of result of their previous semester. (1) Eligibility Criteria for Grant of scholarship:(i) Total Annual (Yearly) family income from all sources – upto Rs. 3.00 Lacs.(ii) ECGPA=0.95 * CGPA of last exam passed should be 7.0 and above. (ECGPA – Effective CGPA as desired and defined by the ASCC).(iii) Partial concession to disabled girls and girls from Ex-serviceman’s Families.(iv) Relaxation in eligibility Criteria may considered by the Committee in Special circumstances.(v) Scholarship amount shall be disbursed in 2 equal installments.Second installment shall be disbursed on receiving demand from the concerned educational institution for its disbursement along with a copy of student’s mark sheet of six monthly/previous semester exam.(iv) Those girls who fail to secure original stipulated minimum qualifying marks, their next scholarship installment shall not be disbursed.(2) Document to be submitted with scholarship application form:(i) Parent’s Income Proof.(ii) Copy of Aadhar Card of the applicant (Student).(iii) Copy of Aadhar Card of Parent (Father / Mother).(iv) Copy of Students College ID Card.(v) Copy of Mark sheets of previous semester examination passed (1st or 2nd year as applicable). It may be noted that just submitting the application will not guarantee the award of scholarship. The shortlisted students would be informed by the admin office for further scrutiny by the authorities of Anandam Centre.",2024-09-06 16:55:28
adminoffice@acropolis.in,undisclosed-recipients:;,[ARDOR 2024] Invitation,"Dear Students, Acropolis Institute of Technology and Research (AITR) and Acropolis Institute of Pharmaceutical Education and Research (AIPER) invite you to the Annual Day, “Ardor 2024,” on Saturday, the 2nd of March 2024, from 10:00 a.m. onwards at the AITR campus. *Note:* 1. The program will be followed by lunch. 2. College buses will ply one hour later than the first shift timings. Dear Students,Acropolis Institute of Technology and Research (AITR) and Acropolis Institute of Pharmaceutical Education and Research (AIPER) invite you to the Annual Day, “Ardor 2024,” on Saturday, the 2nd of March 2024, from 10:00 a.m. onwards at the AITR campus. Note: 1. The program will be followed by lunch. 2. College buses will ply one hour later than the first shift timings.",2024-02-29 12:01:31
adminoffice@acropolis.in,undisclosed-recipients:;,"=?UTF-8?Q?Request_to_join_Launch_of_AICTE_=2D_ServiceNow_Virtual?=
	=?UTF-8?Q?_Internship_Program_2024_on_April_05=2C_2024_=28Friday=29_at_11=3A30?=
	=?UTF-8?Q?_am_onwards=E2=80=93reg=2E?=","ALL INTERESTED STUDENTS ARE HEREBY INFORMED TO ATTEND THE AICTE WEBINAR OF VIRTUAL INTERNSHIP PROGRAM. THE DETAILS ARE AS GIVEN BELOW: Greetings from AICTE.. *AICTE* has partnered with ServiceNow (www.servicenow.com) a cloud-based platform and solutions company that helps digitize and unify organizations so that they can find smarter, faster, better ways to make workflow. Our collaboration with ServiceNow provides students global and centralized learning, while building future-ready skills and capabilities. The students are provided education path with access to ServiceNow Administrator and Developer courses on the Now Learning platform. Importantly, students will be introduced to emerging AI technologies, providing valuable insights needed by all prospective employees. *Virtual Internship program* is offered to students under the global program “Rise Up with ServiceNow” to empower young engineers with job-ready capabilities. Join us for the ServiceNow Live webinar, an opportunity to hear and interact . Speakers(s): · *Dr. Buddha Chandrasekhar - Chief Coordinating Officer, AICTE* · Bhaskar Gandhavadi - Director, ServiceNow Time & Date:*11.30 am, Friday 5th APRIL 2024* Log in / Webinar Registration: https://zoom.us/webinar/register/WN_q-YOki5_TzefpeVXJ0nRVA#/registration For any further support, please contact support@thesmartbridge.com *With Regards,* Dr. Buddha Chandrasekhar, Chief Coordinating Officer, AICTE HQs, New Delhi 011-29581423 internship@aicte-india.org ALL INTERESTED STUDENTS ARE HEREBY INFORMED TO ATTEND THE AICTE WEBINAR OF VIRTUAL INTERNSHIP PROGRAM. THE DETAILS ARE AS GIVEN BELOW:Greetings from AICTE.. AICTE has partnered with ServiceNow (www.servicenow.com) a cloud-based platform and solutions company that helps digitize and unify organizations so that they can find smarter, faster, better ways to make workflow. Our collaboration with ServiceNow provides students global and centralized learning, while building future-ready skills and capabilities. The students are provided education path with access to ServiceNow Administrator and Developer courses on the Now Learning platform. Importantly, students will be introduced to emerging AI technologies, providing valuable insights needed by all prospective employees. Virtual Internship program is offered to students under the global program “Rise Up with ServiceNow” to empower young engineers with job-ready capabilities. Join us for the ServiceNow Live webinar, an opportunity to hear and interact. Speakers(s): · Dr. Buddha Chandrasekhar - Chief Coordinating Officer, AICTE· Bhaskar Gandhavadi - Director, ServiceNow Time & Date:11.30 am, Friday 5th APRIL 2024 Log in / Webinar Registration: https://zoom.us/webinar/register/WN_q-YOki5_TzefpeVXJ0nRVA#/registration For any further support, please contact support@thesmartbridge.com With Regards,Dr. Buddha Chandrasekhar,Chief Coordinating Officer,AICTE HQs, New Delhi011-29581423internship@aicte-india.org",2024-04-04 15:38:08
adminoffice@acropolis.in,undisclosed-recipients:;,Academic Calendar for January - June 2025 - B.Tech. (Even Semester),"Academic Calendar for January - June 2025 B.Tech. (Even Semester) Particulars VIII - Sem VI - Sem IV and II - Sem Commencement of Classes 1st January 2025 10th February 2025 10th March 2025 I Sessional Exam/Mid/Sem. 3rd to 8th February 2025 6th to 12th March 2025 15th to 22nd April 2025 II Sessional Exam/Mid Sem 3rd to 8th March 2025 15th to 22nd April 2025 22nd to 27th May 2025 Submission of Examination Form I Without Late Fee: 1st- 19th March 2025 25th April to 15th May 2025 1st to 17th June 2025 II With Late Fee: 20th to 26th March 2025 16th to 20th May 2025 18th to 25 th June 2025 Last Date of Teaching 24th March 2025 15th May 2025 17th June 2025 Submission of Mid Semester & Sessional Marks to University 25th to 31st March 2025 10th to 17th May 2025 Up to 25th June 2025 End Semester Examination (Theory & Practical) 1st to 30th April 2025 21st to 15th June 2025 28th June to 21st July 2025 End Semester Break/Internship NA 16th June to 5th July 2025 22nd July to 5th August 2025 Declaration of Result May 2025 July 2025 August 2025 (1) 1st and 3rd Saturday of every month will be observed as a holiday. (2) Any change in dates by RGPV will be incorporate as and when required. (3) Depending upon monthly progress of syllabus, extra classes would be organized by department during holidays. (4) 3rd Sessional Examination / Mid Sem is optional. It will be planned by individual departments on need basis. (5) Submission of Practical marks to University on the date of Practical Examination. (6) The institute will observe the holidays as per the circulated list. Academic Calendar for January - June 2025B.Tech. (Even Semester)ParticularsVIII - SemVI - SemIV and II - SemCommencement of Classes1st January 202510th February 202510th March 2025I Sessional Exam/Mid/Sem.3rd to 8th February 20256th to 12th March 202515th to 22nd April 2025II Sessional Exam/Mid Sem3rd to 8th March 202515th to 22nd April 202522nd to 27th May 2025Submission of Examination Form I Without Late Fee: 1st- 19th March 2025 25th April to 15th May 20251st to 17th June 2025II With Late Fee: 20th to 26th March 202516th to 20th May 202518th to 25th June 2025Last Date of Teaching24th March 202515th May 202517th June 2025Submission of Mid Semester &Sessional Marks to University25th to 31st March 202510th to 17th May 2025Up to 25th June 2025End Semester Examination(Theory & Practical)1st to 30th April 202521st to 15th June 202528th June to 21st July 2025End Semester Break/InternshipNA16th June to 5th July 202522nd July to 5th August 2025Declaration of ResultMay 2025July 2025August 2025(1) 1st and 3rd Saturday of every month will be observed as a holiday.(2) Any change in dates by RGPV will be incorporate as and when required.(3) Depending upon monthly progress of syllabus, extra classes would be organized by department during holidays.(4) 3rd Sessional Examination / Mid Sem is optional. It will be planned by individual departments on need basis.(5) Submission of Practical marks to University on the date of Practical Examination.(6) The institute will observe the holidays as per the circulated list.",2025-03-06 11:03:15
adminoffice@acropolis.in,undisclosed-recipients:;,"=?UTF-8?Q?Request_to_participate_in_Free_session_on_=22Key_Subje?=
	=?UTF-8?Q?cts_for_Industry_Readiness=22=E2=80=93_reg=2E?=","Dear all, Greetings from AICTE!! We are pleased to inform you about an upcoming informative session titled ""Key Subjects for Industry Readiness"" and Microcredit Programs, jointly organized by IITs including IIT Guwahati, IIT Mandi, IIT Ropar, in collaboration with the National Skill Development Corporation (NSDC) and Masai School. This session, scheduled for the first week of May (exact dates to follow), aims to provide valuable insights into essential subjects for industry preparedness and highlight the benefits of microcredit programs. Register Now -https://forms.gle/UJuwmppVTjcKaUrn9 Dear all,Greetings from AICTE!!We are pleased to inform you about an upcoming informative session titled ""Key Subjects for Industry Readiness"" and Microcredit Programs, jointly organized by IITs including IIT Guwahati, IIT Mandi, IIT Ropar, in collaboration with the National Skill Development Corporation (NSDC) and Masai School.This session, scheduled for the first week of May (exact dates to follow), aims to provide valuable insights into essential subjects for industry preparedness and highlight the benefits of microcredit programs.Register Now -https://forms.gle/UJuwmppVTjcKaUrn9",2024-04-29 16:27:46
adminoffice@acropolis.in,undisclosed-recipients:;,"CAUTION - Eight students of B. Tech. II Year were caught using unfair
 means (mobile phone) during the MST on 9th April 2024.","27th Apr 2024 *CAUTION* All the students are hereby informed that despite caution eight students of B. Tech. II Year were *caught using unfair means (mobile phone) during the MST* on 9th April 2024. Consequently, they *were suspended from the classes with immediate effect till they bring* *their parents and meet the class coordinator, HoD and the undersigned.* Additionally, they are fined Rs. 5,000/-. *All the students are therefore, once again cautioned to learn a lesson* from the above action and refrain themselves from any acts of indiscipline to avoid inconvenience and disciplinary action. 27th Apr 2024 CAUTION All the students are hereby informed that despite caution eight students of B. Tech. II Year were caught using unfair means (mobile phone) during the MST on 9th April 2024. Consequently, they were suspended from the classes with immediate effect till they bring their parents and meet the class coordinator, HoD and the undersigned. Additionally, they are fined Rs. 5,000/-. All the students are therefore, once again cautioned to learn a lesson from the above action and refrain themselves from any acts of indiscipline to avoid inconvenience and disciplinary action.",2024-04-27 16:33:40
adminoffice@acropolis.in,undisclosed-recipients:;,Notice - Regarding Date of Challenge/Persuasion of Answer Books,"On Mon, Apr 8, 2024 at 4:42 PM ADMIN Office wrote: > [image: image.png] > On Mon, Apr 8, 2024 at 4:42 PM ADMIN Office <adminoffice@acropolis.in> wrote:",2024-04-09 11:07:51
adminoffice@acropolis.in,undisclosed-recipients:;,Fixtures for Various Sports - Annual Sports Meet 21st to 24th Feb. 2023-24,PFA PFA,2024-02-16 16:23:12
adminoffice@acropolis.in,undisclosed-recipients:;,Notice,[image: image.png],2024-04-08 16:42:00
